"Brief description","Area","Room","Start time","End time","Duration","Full Description","Type","Created by","Confirmation status","Last updated"
"BBA(IT) II- Introduction to Costing- Div A- Mr. Rohan Bhase","SICSR","203","08:00:00 - Tuesday 02 January 2024","09:00:00 - Tuesday 02 January 2024","1 hours","BBA(IT) II- Introduction to Costing- Div A- Mr. Rohan Bhase","BBA-IT (II) - Div. A","coordinator","Confirmed","15:37:57 - Saturday 23 December 2023"
"BCA II Div A -Creative Writing-Ms.KanchanGauri Joshi","SICSR","301","08:00:00 - Tuesday 02 January 2024","09:00:00 - Tuesday 02 January 2024","1 hours","BCA II Div A -Creative Writing-Ms.KanchanGauri Joshi","BCA (II) - Div. A","coordinator","Confirmed","19:59:06 - Saturday 30 December 2023"
"BCA II Div E -Creative Writing-Mrinmayi Shrirang Huprikar","SICSR","306","08:00:00 - Tuesday 02 January 2024","09:00:00 - Tuesday 02 January 2024","1 hours","BCA II Div E -Creative Writing-Mrinmayi Shrirang Huprikar","BCA (II) - Div. E","coordinator","Confirmed","17:36:38 - Friday 22 December 2023"
"BCA IV- Foundations of Data Warehousing and Data Mining- Div E- Ms. Kumari Deepi","SICSR","307","08:00:00 - Tuesday 02 January 2024","09:00:00 - Tuesday 02 January 2024","1 hours","BCA IV- Foundations of Data Warehousing and Data Mining- Div E- Ms. Kumari Deepika","BCA (IV) - Div. E","coordinator","Confirmed","00:08:54 - Wednesday 27 December 2023"
"MBA(DT) II- Enterprise Resource Planning and Supply Management- Mr.Anirudd- Extr","SICSR","404","08:00:00 - Tuesday 02 January 2024","09:00:00 - Tuesday 02 January 2024","1 hours","MBA(DT) II- Enterprise Resource Planning and Supply Management- Mr.Anirudd- Extr","MBA-DT (II)","coordinator","Confirmed","15:04:07 - Saturday 30 December 2023"
"BBA(IT)  IV Div B: Creativity and Innovation-Mr.Ashok Pattar","SICSR","701","08:00:00 - Tuesday 02 January 2024","09:00:00 - Tuesday 02 January 2024","1 hours","BBA(IT)  IV Div B: Creativity and Innovation-Mr.Ashok Pattar","BBA-IT (IV) - Div. B","coordinator","Confirmed","20:30:40 - Tuesday 26 December 2023"
"BCA IV- Introduction to Blockchain Technologies- Div A- Mr. Shashshank Gaikwad","SICSR","704","08:00:00 - Tuesday 02 January 2024","09:00:00 - Tuesday 02 January 2024","1 hours","BCA IV- Introduction to Blockchain Technologies- Div A- Mr. Shashshank Gaikwad","BCA (IV) - Div. A","coordinator","Confirmed","17:54:51 - Wednesday 27 December 2023"
"BCA IV- Introduction to Java Enterprise Framework-Div B- Dr. Farhana Desai","SICSR","706","08:00:00 - Tuesday 02 January 2024","09:00:00 - Tuesday 02 January 2024","1 hours","BCA IV- Introduction to Java Enterprise Framework-Div B- Dr. Farhana Desai","BCA (IV) - Div. B","coordinator","Confirmed","20:22:08 - Tuesday 26 December 2023"
"BBA(IT) II- Introduction to Python-DIv A- Mr. Shirish Joshi","SICSR","203","09:00:00 - Tuesday 02 January 2024","10:00:00 - Tuesday 02 January 2024","1 hours","BBA(IT) II- Introduction to Python-DIv A- Mr. Shirish Joshi","BBA-IT (II) - Div. A","coordinator","Confirmed","15:35:35 - Saturday 23 December 2023"
"BCA II Div A -Server Side Web Technology-Ms. Rasila Walhekar","SICSR","301","09:00:00 - Tuesday 02 January 2024","10:00:00 - Tuesday 02 January 2024","1 hours","BCA II Div A -Server Side Web Technology-Ms. Rasila Walhekar","BCA (II) - Div. A","coordinator","Confirmed","20:00:10 - Saturday 30 December 2023"
